id,sentence,difficulty
1332,Le travail permet en effet à l'Homme de se libérer d'aspects contraignant liés à l'existence humaine,C2
1333,"Je ne savais pas que, bien plus tristement que les petits écarts de régime de son mari, mon manque de volonté, ma santé délicate, l'incertitude qu'ils projetaient sur mon avenir, préoccupaient ma grand'mère au cours de ces déambulations incessantes de l'après-midi et du soir, où on voyait passer et repasser, obliquement levé vers le ciel, son beau visage aux joues brunes et sillonnées, devenues au retour de l'âge presque mauves comme les labours à l'automne, barrées, si elle sortait, par une voilette à demi relevée, et sur lesquelles, amené là par le froid ou quelque triste pensée, était toujours en train de sécher un pleur involontaire.",C2
1334,"Les impôts sur l'énergie comprennent essentiellement les impôts sur les carburants, la taxe CO2 sur les combustibles et le supplément sur les coûts de transport d'électricité.",C1
1335,J'y suis allé hier en scooter.,A2
1336,Tu étais ma meilleure amie et tu avais toujours plein de bonnes idées pour s'amuser,A2
1337,"Oui, comme entrée ?",A1
1338,Il a demandé la raison de cette décision.,A2
1339,"S'il fait beau, l'après-midi vous pouvez aller au jardin du Luxembourg.",A1
1340,"Pourtant, dans les années 1890, les garçons coiffeurs et les employés des grands magasins manifestent, avec le soutien de la CGT, pour obtenir une demi-journée de repos hebdomadaire.",C2
1341,"De la même façon, le gouvernement de la République du Congo (RDC) s'est engagé, en mai 2002, à démobiliser des milliers d'enfants servant dans son armée.",B1
1342,Personne n'était intéressé par les discours du député,B1
1343,Enseigner à une enfant qu'il peut réussir.,A2
1344,Vous ne passerez pas !,A2
1345,Il avait emprunté le couloir exigu qui menait aux dortoirs des filles.,C2
1346,"De quelles huées gouailleuses, de quelles curiosités grossières n'êut-il pas été l'objet et la victime!",B2
1347,Cette période marque l'arrivée de Noël et des fêtes de fin d'année.,A1
1348,Bien sûr que tu vas y aller.,A1
1349,Il a trouvé un copain.,A1
1350,"En France, le début des vacances est souligné par les soldes d'été",B1
1351,"Elle se retrouvait dans les lectures de sa jeunesse, en plein Walter Scott.",C1
1352,"Dans cette lettre au Père Noël, ils listent méticuleusement tous les cadeaux qu'ils souhaiteraient avoir au pied du sapin",B2
1353,"Il avait naturellement conçu le désir de répéter ces prouesses et, dès qu'il eut seize ans, il commença de s'exercer.",B2
1354,"La deuxième jambe de notre projet, axé sur le ""protéger"", est mise en place depuis 2017, notamment avec nos mesures en matière d'éducation, comme le dédoublement des classes.",C1
1355,"J'étais trop épuisé, il m'était impossible de continuer !",B1
1356,Il eut une consolation.,C1
1357,"Dans cette zone, les densités annuelles de campagnol terrestre connues à l'échelle des communes ont été attribuées aux taches de prairie en utilisant une pondération par les surfaces relatives pour les taches chevauchant plusieurs municipalités ; au terme de cette opération, chaque tache de prairie a été caractérisée par une densité annuelle de campagnol terrestre.",C1
1358,"Si les enfants écrivent une lettre au Père Noël, est-ce qu'il répondra ?",B1
1359,"II y avait lu que j'étais un honnête homme, un travailleur régulier, infatigable, fidèle à la maison qui l'employait, aimé de tous et compatissant aux misères d'autrui.",C2
1360,"Après son enfance à Vinci, Léonard est élève auprès du célèbre peintre et sculpteur florentin Andrea del Verrocchio.",B2
1361,J'ai été me plaindre à la mairie mais ça n'a servi à rien !,B1
1362,La didascalie offre un éclairage totalement nouveau de l'oeuvre.,C2
1363,Peut-on évoquer des sujets sérieux avec un accent du Sud de la France ?,B1
1364,Je voudrais la clé s'il vous plaît.,A1
1365,"Lucie entama d'un air brave sa cavatine en sol majeur; elle se plaignait d'amour, elle demandait des ailes.",C2
1366,La science en fait partie.,B1
1367,"Affirmant cela, j'entends déjà les ayatollahs du coq au vin, les sermonneurs de la sauce béarnaise, les adeptes de la sole meunière se dresser tel un seul homme brandissant leur Gault et Millau et leur Michelin.",C1
1368,"Tu peux assister à des cours de danse, de hockey, et de gym.",A1
1369,Il faut inciter la population à refuser les pailles en plastique.,B2
1370,Qu'est-ce qu'ils font ?,A1
1371,"Si vous me dites où vous avez passé l'hiver, je vous donnerai une grande somme d'argent.""",A2
1372,Un automobiliste a été arrêté pour avoir brûlé un feu rouge.,B1
1373,"Quel type de logement cherchez-vous: un appartement, une maison?",B1
1374,L'épidémie de coronavirus nous contraint à éprouver l'incertain de nos existences comme une dégradation provisoire.,C2
1375,Vous pleuriez beaucoup. Pourquoi ?,A2
1376,"Je te conseille vraiment la Brasserie du Métro qui est mon restaurant préféré, tu ne le regretteras pas si tu y vas",B1
1377,"La dame du premier étage, sans doute la même qui m'a parlé au téléphone, me dit que Monsieur Lindon m'attend dans son bureau.",B1
1378,"En quittant chaque étape, mes enfants dessinaient le lieu ou une personne qu'ils y avaient rencontrée",C2
1379,"Il sut comment poursuivre dans les prés les poulains à demi sauvages, comment les approcher en secret, les surprendre d'un saut et les maintenir par force, les par la fatigue.",B2
1380,Le cheval arriva au galop et sauta par-dessus la clôture.,B2
1381,"Comme ingénieur et inventeur, Léonard développe des idées très en avance sur son temps, des prototypes d'avion, d'hélicoptère, de sous-marin et même d'automobile.",C1
1382,"Elle s'emplissait le coeur de ces lamentations mélodieuses qui se traînaient à l'accompagnement des contrebasses, comme des cris de naufragés dans le tumulte d'une tempête.",C1
1383,"Pour lutter contre les anglicismes, la Commission générale de terminologie et de néologie recommande des termes français, qui sont parfois peu usités.",C1
1384,"Ah oui, exactement comme moi !",A2
1385,"C'est un petit appartement, sans beaucoup de confort, mais près du centre-ville.",B1
1386,"C'est le cas à Nowra, à l'ouest de Sidney, où notre envoyée spéciale Murielle Paradon a pu rencontrer un couple de sexagénaires qui a trouvé refuge dans sa voiture",B1
1387,La décision finale sera prise lors de la prochaine conférence à Buenos Aires.,C1
1388,Nous avons voulu visiter le musée et nous avons dû payer l'entrée.,B1
1389,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
1390,"Le soir venu, il faut rentrer en prenant le même chemin que le matin",A2
1391,Les nominations présidentielles ont besoin de 51 voix pour être approuvées par le Sénat.,B2
1392,J'aime beaucoup l'école,A1
1393,"Le respect, l'égalité , c'est ce que veulent les jeunes.",A2
1394,Je mettrai la tasse sur la table.,A1
1395,"Comme leurs enfants, en somme, auxquels ces jeunes seniors ressemblent furieusement.",C1
1396,"La méchante femme n'y retournera sûrement pas."" Le démon partit bien vite, et il se précipita dans le trou, où, hélas, il retrouva la méchante femme.",B1
1397,On doit aider les petits pour y arriver.,A2
1398,Ce comédien joua dans plusieurs pièces que mon frère eut écrites.,C2
1399,Je saute et vous n'aurez jamais les plans !,A2
1400,"Et là en revanche, ça pourrait me servir.",A1
1401,Malheureusement sa conduite était plutôt noble et généreuse que tendre.,B2
1402,Mais que fait Jules ?,A1
1403,"Tantôt une tendance l'emporte, tantôt l'autre ; mais jamais, parmi tant d'arguments, jamais ne se produit la question essentielle.",C2
1404,"Mon fils a de bonnes notes en français, c'est sa matière préférée",B1
1405,"Sombre constat, décidément, qui devrait interpeller les pouvoirs publics, en grande partie responsables de cet état de fait, quelle que soit la couleur politique des gouvernements successifs.",C2
1406,"Puis je me bagarrais avec Daffy, mon canard en peluche, je machouillais mon os qui couine ou je chantais à runisson avec la radio de la voisine",C1
1407,Je ne sais pas si j'ai assez d'argent pour vous accompagner,A2
1408,"Dans les Caraïbes anglophones, 25 % des hommes et 50 % des femmes sont déjà obèses.",C1
1409,Sa voiture rouge est très rapide.,A1
1410,"Celle-ci étant plus foncée que chez les Européens blancs, elle leur offre une protection naturelle contre le soleil car les UV, pourtant très intenses dans ce milieu désertique, atteignent moins les couches profondes de l'épiderme (50 % ou plus pour une carnation claire, 15 % pour une peau noire).",C1
1411,L'asile est le creuset terrible où se forge l'identité du vagabond.,C1
1412,"Son rêve, en chassant l'histoire de l'histoire elle-même, est d'aboutir à un frottement régulier, sans frottement ni cahot, qui s'incarne dans la roue et la trajectoire circulaire, leitmotiv et poncif de toutes les Expositions universelles, depuis la Grande Roue de Ferris jsuqu'au gyrotron en passant par le tapis roulant circulaire de Paris 1900 et le Rocket Ship de New York 1939.",C2
1413,Illusion de l'ignoble qui attire tant d'êtres!,C1
1414,"Il ne n'est pas baigné, il ne s'est pas reposé",A1
1415,"De nombreuses expériences sérieuses, importantes, attestent que ces enfants bilingues sont nettement plus favorisés pour un bon apprentissage des mathématiques, et plus généralement pour les opérations mentales fondées sur l'abstraction",C2
1416,"Nous avons une grande maison avec un chien, un poisson et deux chats",A1
1417,"Les guerres, l'instabilité politique sont pour l'essentiel à l'origine des famines et des situations de pénurie qui règnent aujourd'hui dans le monde, précisait encore Bertrand Hervieu.",C1
1418,"Un samedi sur deux, les étudiants de l'école de journalisme organisent des discussions dans le café internet du centre.",B1
1419,S'attribuer des qualités qu'on ne possède pas.,B1
1420,"Si l'individualisme repose sur le culte de chacun pour soi, l'individualisation correspond à une culture du choix, chacun affirmant son autonomie, sa capacité d'orienter son action sans être contrôlé ou contraint.",C1
1421,"Je vois bien l'intérêt de cet appareil, mais je n'en ai pas l'usage.",B1
1422,Oui c'est pour combien de personnes ?,A1
1423,"L'outil de travail, c'est le téléphone, avec lequel on fait tout : conseil, vente, suivi commercial mais surtout de la vente.",B1
1424,"Madame la baronne, qui pesait environ trois cent cinquante livres, s'attirait par là une très grande considération, et faisait les honneurs de la maison avec une dignité qui la rendait encore plus respectable.",C1
1425,"Le repas est servi sur une table resplendissante, recouverte de bougies et de petits santons",B2
1426,"Tu pourrais ranger ta chambre, ça t'aiderait à les retrouver !",A2
1427,"Le 7 mars 1815, les dames étaient de retour, depuis l'avant-veille, d'un charmant petit voyage de Milan ; elles se promenaient dans la belle allée de platanes, récemment prolongée sur l'extrême bord barque parut, venant du côté de Côme, et fit des signes singuliers.",C1
1428,"Ce n'était pas le cas il y a cent ans, et c'est très bien.",A2
1429,Les textos louent ici le même rôle quo les échanges épistolaires : ils sont un moyen de se remémorer la passion,C1
1430,Mais la chute de Neera Tanden annonce les autres batailles plus rudes à venir au Sénat,B2
1431,"Passionnée par l'histoire des civilisations disparues, elle veut être archéologue.",C1
1432,"Grâce à une enseigante, il a finalement commencé à s'intéresser à l'école.",B1
1433,"Il y a un an, j'ai décidé de ne plus manger de viande.",A2
1434,"Le comte me découvrit dans l'espèce de retraite où je m'étais réfugié ; il vint à moi, me prit par la main, et me conduisit vers Ellénore.",C2
1435,"Je viens d'aller consulter un médecin, car je ne pouvais plus dormir.",B1
1436,"Le sens des textes, qui se confond avec ces deux expériences, apparait clairement comme inséparable du décalage pragmatique, volontairement instauré, entre l'oeuvre philosophique et le ridicule d'une énonciation musicale.",C2
1437,"Ses soeurs furent tellement enthousiasmées de son projet, elles l'embrassaient avec une joie si bruyante qu'il prit à la main quelques diamants qui restaient encore à cacher, et voulut partir sur-le-champ.",C1
1438,"HomeExchange, la plateforme par laquelle la famille est passée a vu ses demandes d'échanges de maison entre particuliers doubler cet été par rapport à l'année dernière.",B1
1439,"Qu'il revienne, s'il l'ose !",B1
1440,"Un ânier, son sceptre à la main, menait, en empereur romain, deux coursiers à longues oreilles.",B2
1441,"Or, Internet et les réseaux sociaux mobilisent toute notre attention et ne permettent pas de trouver cette tranquillité d'esprit.",C1
1442,Londres est différent de Paris.,A1
1443,"La chasse est également liée à l'exploitation forestière, le commerce du gibier offrant des possibilités lucratives.",B2
1444,"Je vais lui offrir un livre que j'aime beaucoup : ""Kurt et le poisson"", tu connais?",A2
1445,J'ai vu Christine et elle m'a dit que tout va bien pour toi.,A2
1446,"Donc, juste dans ma zone personnelle, donc, je fais la mise en place pour une centaine de clients ce soir",A2
1447,"Il y a beaucoup de choses à faire à Paris, crois-moi.",A1
1448,Il veut leur faire une surprise.,A2
1449,"Si j'ai un accident, mon coeur ou mon foie pourront être utilisés.",B1
1450,"Le slogan ""100 % de nos clients achètent nos produits"" est une tautologie.",C2
1451,"Pour voyager en Sibérie, à Venise, autour du monde, essuyer une tempête en Atlantique, ou reconstruire une société sur une île déserte, il suffit que nous ouvrions un livre",C2
1452,"Dans le cadre d'une recherche en sociolinguistique urbaine, s'intéressant aux parlers de jeunes en parcours d'insertion sociale et professionnelle, évoluant au sein de centres de formation, nous nous sommes interrogées sur la construction et l'hétérogénéité des interactions dans le cadre de situations de communication données, dont témoigne la diversité des corpus recueillis.",C2
1453,"Après la chute de Napoléon, certains personnages puissants à Milan firent assommer dans les rues le comte Prina, ancien ministre du roi d'Italie, et homme du premier mérite.",C1
1454,Je n'aime pas dessiner.,A1
1455,"À 40 ans, il est usé",B2
1456,"Jusqu'à ce récit exceptionnel qu'est Migrations, premier roman de l'Australienne Charlotte McConaghy, sur des vies à bout de souffle.",C1
1457,Quel sport est-ce que vous faites ?,A1
1458,J'ai deux frères,A1
1459,"Elle acheta une barque que Fabrice, la marquise et elle ornèrent de leurs mains, car on manquait d'argent pour tout, au milieu de l'état de maison le plus splendide ; depuis sa disgrâce le marquis del Dongo avait redoublé de faste aristocratique.",C1
1460,"Un garçon tombé du Midi à Paris, avec l'audace aimable d'un aventurier et, dès le lendemain, des histoires de femme, une continuelle exploitation de la femme, le scandale d'un flagrant délit, dont le quartier parlait encore ; puis, la conquête brusque et inexplicable de Mme Hédouin, qui lui avait apporté le Bonheur des dames.",C2
1461,Un bruit qui se produit dans l'estomac quand on a faim.,A2
1462,Un saison parfaite pour les sorcières,A1
1463,Il est entré dans la mauvaise chambre et a surpris des inconnus.,B1
1464,"Cette deuxième explication plus tardive semble avoir l'avantage pour certains de retirer les Amérindiens de l'équation, ce qui entache d'autant sa crédibilité",B2
1465,Quelquefois je cherchais à contraindre mon ennui ; je me réfugiais dans une taciturnité profonde : on prenait cette taciturnité pour du dédain.,C2
1466,Bonne semaine et à bientôt Merci beaucoup Lida !,A1
1467,"Mais on peut aussi imaginer un robot allié ou compagnon, voire amant.",C2
1468,C'est un métier très complet.,A1
1469,"Elle me raconta ce qu'elle avait souffert en essayant de s'éloigner de moi ; que de fois elle avait espéré que je la découvrirais malgré ses efforts ; comment le moindre bruit qui frappait ses oreilles lui paraissait annoncer mon arrivée ; quel trouble, quelle joie, quelle crainte elle avait ressentis en me revoyant ; par quelle défiance d'elle-même, pour concilier le penchant de son coeur avec la prudence, elle s'était livrée aux distractions du monde, avait recherché la foule qu'elle fuyait auparavant.",C2
1470,"Alors après, on va bien distinguer dans les dettes : les dettes publiques, privées, multilatérales.Voilà, parce que de quelles dettes parle-t-on ?",B2
1471,"De là je contemplais Ellénore : elle me parut légèrement changée, elle était plus pâle que de coutume.",C2
1472,"Savoir exactement quelle sera la météo, quelles seront les soirées où vous devrez être habillée",B2
1473,"Je trouve qu'une lecture comme ça aide beaucoup à apprendre à mieux prononcer, à connaître plus de vocabulaire et en plus c'est très amusant.",B1
1474,250 nouveaux talents seront sur le marché du travail d'ici la fin de l'année.,B1
1475,Tu as entendu ce bruit ?,A2
1476,"La communication numérique offre la possibilité de combler de nombreux besoins existentiels, narcissiques et sociaux, difficiles à satisfaire dans la ""vie réelle"".",B2
1477,La motocyclette était très peu fiable à ses débuts.,B2
1478,"Selon les familles, la soirée peut être animée par des lectures de contes horrifiques ou de poème évoquant Halloween.",B2
1479,"Après 13 ans, l'appareil articulatoire et phonatoire de l'enfant se fige, ce qui explique que les adultes ont tant de mal à apprendre les langues étrangères",C2
1480,"J'aimerais vous présenter un nouveau collègue, Jacques Servat qui arrive de Madrid où il vient de passer cinq ans dans un grand groupe d'ameublement au poste de chef d'équipe des commerciaux.",B1
1481,"Ceci dit, il reste qu'entre l'ovule et le spermatozoïde on observe des différences secondaires des plus intéressantes ; la singularité essentielle de l'ovule c'est qu'il est chargé de matériaux destinés à nourrir et à protéger l'embryon ; il accumule des réserves aux dépens desquelles le foetus édifiera ses tissus, réserves qui sont non une substance vivante mais une matière inerte ; il en résulte qu'il présente une forme massive, sphérique ou ellipsoïdale, et qu'il est relativement volumineux ; on sait quelles dimensions atteint l'oeuf de l'oiseau ; chez la femme l'ovule mesure 0, 13 mm de diamètre ; tandis que dans le sperme humain on trouve 60 000 spermatozoïdes par millimètre cube : la masse du spermatozoïde est extrêmement réduite, il a une queue filiforme, une petite tête allongée, aucune substance étrangère ne l'alourdit, il est tout entier vie ; cette structure le voue à la mobilité ; au lieu que l'ovule, où se trouve engrangé l'avenir du foetus, est un élément fixe : enfermé dans l'organisme femelle ou suspendu dans un milieu extérieur, il attend passivement la fécondation ; c'est le gamète mâle qui va à sa recherche ; le spermatozoïde est toujours une cellule nue, l'ovule est selon les espèces protégé ou non par une membrane ; mais en tout cas dès que le spermatozoïde entre en contact avec lui, il le bouscule, le fait osciller, et s'infiltre en lui : le gamète mâle abandonne sa queue, sa tête se gonfle et d'un mouvement tournant gagne le noyau ; pendant ce temps, l'oeuf forme aussitôt une membrane qui le ferme aux autres spermatozoïdes.",C2
1482,Peux-tu m'aider?,A1
1483,Votre amitié me soutenait : sans cette amitié je ne puis vivre.,C2
1484,"C'est un immeuble gris, pas très loin de l'école et de chez moi.",A2
1485,"La ""visio"" atténuera sans doute l'émotion des retrouvailles et la solennité des adieux.",C1
1486,Il était déjà minuit et quart quand Pierre est rentré chez lui.,B1
1487,"Cependant une invincible timidité m'arrêtait : tous mes discours expiraient sur mes lèvres, ou se terminaient tout autrement que je ne l'avais projeté.",C2
1488,Sixtine nous a cassé les couilles sur le forum de gestion de projet.,B2
1489,J'ai 20 ans.,A1
1490,"Pis, leurs compagnons peuvent être saisis d'angoisse face à leur ménopause, observe la psychanalyste Jacqueline Schaeffer.",C1
1491,Salut!,A1
1492,"Ils habitent en face d'une serveuse, Penny, dont le rêve est de devenir actrice.",B1
1493,"Alors, en quelque mois, éleveurs et fonctionnaires du Montana abattent, avec l'accord du parc, plus de 1000 bisons sans même vérifier s'ils sont porteurs de brucellose.",C1
1494,Tu prends une douche et tu vas au lit.,A1
1495,"Il marcha pendant un an et un jour, se nourrissant de fruits et de racines.",B1
1496,"C'est cette première canicule qui avait notamment décidé Greta Thunberg à s'asseoir avec sa pancarte devant le parlement de Stockholm, c'était le début de la grande mobilisation des jeunes pour le climat",B1
1497,Mon petit frère a pris le bus public pour aller jouer au football avec ses copains.,A2
1498,"Je crois à l'existence d'un mammifère, puissamment organisé, appartenant à l'embranchement des vertébrés, comme les baleines, les cachalots ou les dauphins, et muni d'une défense cornée dont la force de pénétration est extrême.",C1
1499,"Or à prendre les choses rigoureusement, l'homme est tout aussi déterminé à se mouvoir sous l'influence de causes externes qu'une pierre qui reçoit une impulsion",C2
1500,Je n'ai pas très faim.,A1
1501,Nous pouvons affirmer avec certitude que cette zone était utilisée comme cimetière entre le dernier quart du Ier siècle et la première moitié du IIe siècle de notre ère.,C1
1502,On cherche toujours à opposer l'humain et la machine.,B1
1503,Je les ai vues devant la pharmacie,A2
1504,Un enseignement scolaire pour créer des liens entre les matières,C1
1505,"Coucou mes amis, je réunis tous ceux que j'aime bien pour fêter l'arrivée de l'été le 21 juin",A1
1506,"À vingt ans, le prince était d'une beauté splendide.",B1
1507,Alors le Salon du Chocolat est l'événement à ne pas manquer,A2
1508,"Un Chat, nommé Rodilardus, faisait de rats telle déconfiture, que l'on n'en voyait presque plus, tant il en avait mis dedans la sépulture.",C2
1509,"Elle présente un style très cohérent, car elle a été construite assez rapidement.",C1
1510,"Elle fais ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher",B1
1511,Le train de ma soeur arrive à 20h05,A1
1512,En un mot : toute ma vie.,A2
1513,"La trap, ça reste du rap, c'est juste un petit dérivé",A2
1514,Le stockage des déchets radioactifs présente un grand risque pour l'environnement.,B2
1515,"Tout d'abord, pourquoi ne pas considérer le travail comme une unique contrainte puisque dès son origine, cette activité est désignée comme telle",C2
1516,Cet essor est lié à la mise en place de mesures fiscales favorables aux parents.,C1
1517,J'ai rendez vous chez le coiffeur.,A1
1518,Qu'est-ce que vous mangez pour le petit-déjeuner ?,A1
1519,"Et chez vous, comment va la vie ?",A1
1520,Les fortunes détruites sont les chevrons des courtisanes.,C2
1521,As-tu prévu quelque chose ?,B1
1522,"Caterina serait, selon la tradition, fille de paysans pauvres.",B2
1523,C'est dramatique qu'ils aient été amnésique suite au terrible accident survenu lors des tests de laboratoire.,C1
1524,Je t'ai attendu 1 heure devant le cinéma dans le froid,A2
1525,"À terme, plus de 300 déchetteries professionnelles collecteront gratuitement ces déchets qui seront ensuite transportés dans des centres de traitement où ils suivront le même circuit que les déchets ménagers : destruction, dépollution, puis réutilisation dans la fabrication de nouveaux équipements électroniques.",B2
1526,"Pour recevoir nos annonces sur votre boîte mail, inscrivez-vous sur le site de notre agence d'intérim adeki.fr.",B2
1527,En attendant la retraite.,A2
1528,"Toi, tu peux apporter un jus de fruits.",A1
1529,Je suis persuadé que la robolution va profondément modifier notre système économique.,C2
1530,Il est très joyeux et il siffle.,A1
1531,C'était une pièce vide et triste ; aux parois lépreuses des murs s'effiloquaient des débris d'affiches officielles,C1
1532,"Ces défis environnementaux, avec la mobilité internationale qui s'intensifie, les migrations de personnes et le commerce international de marchandises et de services, montrent que la préservation du bien-être revêt de plus en plus une dimension globale.",C1
1533,L'enseignement des langues dans l'école française est - comment dire ça poliment,C2
1534,"La Semaine s'est ouverte lundi sur le parvis du Trocadéro à Paris, par un événement symbolique, en présence des adjointes pour les personnes handicapées au maire de Paris.",B1
1535,Cette voiture ressemble à ma voiture.,A1
1536,"Le plus inquiétant et scandaleux, c'est en mathématiques : il échange ses réponses et travaux pratiques à tout l'internat contre rétribution, ce qui explique les quantités de provisions et d'objets illégaux qui dans son placard.",C1
1537,"Cette entreprise vient de s'installer dans la région, elle va recruter!",B1
1538,La mort a figé le jeune homme dans une posture christique.,C2
1539,Je passe par la Suisse.,B1
1540,"Comme au judaïsme, il lui oppose l'idée d'une ""jouissance sanctifiée"".",C2
1541,"Pour lui, parler sa langue maternelle avec ses filles, c'est surtout transmettre quelque chose de la culture danoise.",B1
1542,Avez-vous quelque chose à déclarer ?,A1
1543,"Je vous rappelle vos rendez-vous de demain, mardi.",A1
1544,"Chaque été, nous nous rendons au chalet de mes grands-parents.",B1
1545,Un passager peut se tenir à califourchon derrière le pilote si la motocyclette est conçue pour.,C2
1546,"Un instant, s'il vous plaît.",A1
1547,"Quand le mystère est trop impressionnant, on n'ose pas désobéir.",B1
1548,Nous proclamerons notre indépendence dès que l'armistice sera signé.,B2
1549,"Il est bien, ce musée !",A1
1550,Juste un peu.,A1
1551,"Or, le Code du travail stipule que pour pouvoir bénéficier d'un congé sabbatique, le salarié doit remplir une double condition d'ancienneté de trente-six mois, consécutifs ou non, dans l'entreprise et six années d'activité professionnelle antérieure",C1
1552,Il a plusieurs choses à faire ce soir.,A2
1553,Je vis chez Gérarda avec ma fille depuis deux ans.,A1
1554,Il commence à y avoir de la pluie et du vent. C'est le moment de sortir mon manteau et mon parapluie !,A1
1555,On les appelle les nouveaux pères .,B1
1556,Tu veux venir avec moi demain soir au concert du chanteur M ?,A2
1557,"Elle entend le clapotis de vagues, le cri des enfants qui jouent, la sirène d'un bateau rentrant au port.",B1
1558,"C'était presque la première fois, parce qu'elle ne sourit pas très souvent.",B1
1559,"À 40 ans, il est usé.",B1
1560,"Une vieille dame : Celle-ci, c'est la Harco, là-bas dans le fond, c'est la Coucou de Rennes",A2
1561,"En parallèle, les romans et les films de science-fiction ont présenté des robots, comme les Transformers par exemple, aux pouvoirs surhumains.",C1
1562,"En plus d'une formation aux langages informatiques purs, Sayna impose aussi l'apprentissage d'une toute autre forme de code.",B2
1563,"Si ces tests confirment l'anomalie, un médecin du service de transfusion prendra contact et informera le donneur, au plus tard dans les dix jours qui suivent le prélèvement.",C1
1564,"Mais si, ça me fait plaisir d'aller à Bâle avec vous.",B1
1565,"Tout à coup, il y eut un hurlement, un craquement parmi les branches, et un petit homoncule rose arriva vers nous en poussant des cris.",C2
1566,"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective. Un résultat largement inférieur à celui des déchets ménagers, qui forment la grande majorité des quelque 2 millions de tonnes de déchets électroniques produits chaque année en France, selon l'Agence de l'environnement et de la maîtrise d'énergie (Ademe).",B2
1567,"En Occasionnel, il s'agit de 15 manches maximum, la première équipe à gagner 8 manches l'emporte.",B2
1568,"Deux passions artistiques qui lui permettent d'accéder à son premier rôle au cinéma : celui d'une professeure de piano dans le film Au revoir les enfants, de Louis Malle.",C1
1569,Tu vois le château là-bas ?,A1
1570,On dirait qu'il y a beaucoup de travaux à faire.,B1
1571,"Comme il ne pouvait pas sortir, il s'enveloppa dans son manteau, se coucha à terre, et dormit comme les serpents.",A2
1572,"Cela suppose de totalement repenser la classe évidemment, puisque le cours, le modèle transmissif classique doit être fait à la maison, donc il faut d'autres activités en classe, des activités qui vont supposer en effet des questionnaires à choix multiple, ou éventuellement l'utilisation de boîtiers de vote, des ateliers.",C2
1573,"Cette notion désignait essentiellement, et de façon pragmatique, un équilibre purement mécanique entre les puissances du Continent européen, qui devait prévenir l'apparition d'une hégémonie quelconque: lorsque l'équilibre était troublé, les autres États le reconstituaient quasi automatiquement en s'alliant contre le perturbateur.",C2
1574,"C'est juste une petite infection, on va vous soigner.",B1
1575,"Et Forestier, presque couché sur le canapé, une jambe repliée sous lui, la serviette glissée dans son gilet pour ne point maculer son habit, déclara 151 tout à coup, avec un rire convaincu de sceptique : ""Sacristi oui, on s'en paierait si on était sûr du silence. Bigre de bigre ! les pauvres maris !""",C2
1576,"Au fil de retours en arrière éclairant la vie passée de l'héroïne, l'écrivaine chronique par touches la disparition successive de plusieurs spécimens.",C1
1577,"Les gamins, vêtus pareillement à leurs papas, semblaient incommodés par leurs habits neufs (beaucoup même étrennèrent ce jour-là la première paire de bottes de leur existence), et l'on voyait à côté d'eux, ne soufflant mot dans la robe blanche de sa première communion rallongée pour la circonstance, quelque grande fillette de quatorze ou seize ans, leur cousine ou leur soeur aînée sans doute, rougeaude, ahurie, les cheveux gras de pommade à la rose, et ayant bien peur de salir ses gants.",C2
1578,Quel dommage que personne ne veuille faire de discours pour son départ en retraite la semaine prochaine.,B1
1579,"Neuf militants de l'ONG, vêtus de jaune ou de blanc, ont escaladé, vers 9 heures du matin, le grillage du tarmac de l'aéroport et se sont déployés autour d'un avion Boeing 777 de la compagnie Air France, stationné au sol et sans passager à bord.",C1
1580,Les enfants étaient allés dans le bois des chênes pour couper des branches et se faire des couronnes en feuilles à la manière des empereurs romains.,B2
1581,La corruption se ressent à différents niveaux: les salaires sont si bas que les employés sont tentés d'accepter des pots-de-vin pour approuver des plans d'exploitation qu'ils n'ont jamais vus.,B2
1582,J'ai eu soif et j'ai pris un café,A2
1583,"Pourtant, ce geste familier rappelle quotidiennement la construction inégalitaire du Monde initiée au XVe siècle.",C1
1584,"Votre nom, comment ça s'écrit ?",A1
1585,Je reste à la maison,A1
1586,Je promène le chien de ma voisine qui est en vacances.,A1
1587,Il ne me laisse pas regarder la télévision.,A1
1588,"Eh bien alors séduis, fais ton odieux travail de technique et perds ton âme.",C1
1589,"La journée de dimanche a été particulièrement meurtrière avec au moins 18 morts dans les rangs des manifestants, d'après les Nations Unies.",B2
1590,"Le seuil de douleur est à environ 120 dB, mais l'oreille est vulnérable dès le seuil de 90 dB avec une écoute de plusieurs heures.",B2
1591,"La tradition nord-américaine veut qu'on se retrouve en famille pour manger une dinde farcie accompagnée d'une purée de pommes de terre, de patates douces, d'une gelée de canneberges et une tarte à la citrouille",B2
1592,Tu es toujours étudiant ?,A1
1593,"Avec les prévisions météo, on peut savoir quel temps il fera le soir, le lendemain ou dans la semaine",B1
1594,Le concept est simple : chaque ménage peut déposer son appareil hors d'usage contre l'achat d'un neuf chez le même distributeur.,B2
1595,Je suis déçu que la réunion d'hier se termine de cette manière.,B1
1596,Je vous coupe les cheveux comme cela ?,A1
1597,Pourquoi il ne parle pas ?,A1
